,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
43,No Data,"1 (Feb 3, 2020)","Ilistrealestate Inc., Brokerage",40.00 x 125 Feet,E4682281,No Data,Bungalow,"$3,223 /yr",Detached,72,1192 Warden Avenue,Toronto,Wexford-maryvale,"$699,900 ",,,,,
44,No Data,"1 (Feb 3, 2020)","Re/max West Realty Inc., Brokerage",45.00 x 176.41 Feet,E4681444,No Data,Backsplit 4,"$3,410 /yr",Detached,35,93 Marilake Drive,Toronto,Agincourt South-malvern West,"$978,000 ",,,,,
45,51-99 years,"1 (Feb 3, 2020)","Sotheby`s International Realty Canada, Brokerage",50.00 x 125 Feet,C4682300,2000-2500 sqft,2-Storey,"$11,997 /yr",Detached,47,165 Golfdale Road,Toronto,Lawrence Park North,"$3,266,000 ",,,,,
46,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",60.00 x 104.91 Feet,C4682286,No Data,2-Storey,"$5,718 /yr",Detached,54,5 Averdon Crescent,Toronto,Parkwoods-donalda,"$1,395,000 ",,,,,
47,No Data,"1 (Feb 3, 2020)","Revolution Realty Inc., Brokerage",32.02 x 80.25 Feet,C4682259,No Data,2-Storey,"$9,474 /yr",Detached,70,19 Clarendon Avenue,Toronto,Casa Loma,"$3,600,000 ",,,,,
48,No Data,"1 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",26.92 x 60 Feet,C4682182,No Data,Bungalow,"$4,686 /yr",Detached,89,97 Claremont Street,Toronto,Trinity-bellwoods,"$999,000 ",,,,,
49,No Data,"1 (Feb 3, 2020)","Lolly D Gillen, Brokerage",36.00 x 121.91 Feet,W4682109,1500-2000 sqft,1 1/2 Storey,"$4,472 /yr",Detached,52,6 Teignmouth Avenue,Toronto,Caledonia-fairbank,"$998,000 ",,,,,
50,No Data,"1 (Feb 3, 2020)","Ipro Realty Ltd., Brokerage",80.00 x 148.2 Feet,E4682100,11856 sqft,No Data,"$6,456 /yr",Land,61,8 Lamont Avenue,Toronto,Agincourt South-malvern West,"$1,448,000 ",,,,,
51,No Data,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 120 Feet,C4682172,No Data,2-Storey,"$4,572 /yr",Detached,15,106 King High Avenue,Toronto,Clanton Park,"$2,589,000 ",,,,,
52,New,"1 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 114 Feet,C4682105,3500-5000 sqft,2-Storey,"$13,081 /yr",Detached,72,18 Greenview Avenue,Toronto,Newtonbrook West,"$2,300,000 ",,,,,
53,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Batori Group Inc., Brokerage",25.00 x 130 Feet,C4682360,No Data,2-Storey,"$7,794 /yr",Detached,72,149 Bannockburn Avenue,Toronto,Bedford Park-nortown,"$1,729,000 ",,,,,
54,100 years,"1 (Feb 3, 2020)","Engel & Volkers Oakville, Brokerage",25.00 x 109 Feet,W4682042,1100-1500 sqft,2-Storey,"$3,437 /yr",Detached,45,170 Eileen Avenue,Toronto,Rockcliffe-smythe,"$699,000 ",,,,,
55,No Data,"1 (Feb 3, 2020)","Re/max Premier Inc., Brokerage",90.38 x 117.83 Feet,W4682004,No Data,Sidesplit 4,"$3,057 /yr",Detached,76,1 Stanwood Crescent,Toronto,Humbermede,"$974,900 ",,,,,
56,No Data,"1 (Feb 3, 2020)","Royal Lepage Signature Realty, Brokerage",50.00 x 120 Feet,W4681948,No Data,Bungalow,"$3,700 /yr",Detached,33,97 Cuffley Crescent,Toronto,Downsview-roding-cfb,"$849,900 ",,,,,
57,No Data,"1 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",25.93 x 103.06 Feet,E4681985,No Data,2-Storey,"$3,507 /yr",Detached,9,60 Mcinnes Crescent,Toronto,Rouge E11,"$898,000 ",,,,,
58,No Data,"1 (Feb 3, 2020)","Re/max Realtron Realty Inc., Brokerage",53.30 x 99.37 Feet,E4681968,No Data,Bungalow,"$3,094 /yr",Detached,43,147 Pandora Circle,Toronto,Woburn,"$719,900 ",,,,,
59,No Data,"1 (Feb 3, 2020)","Sutton Group-admiral Realty Inc., Brokerage",41.25 x 132 Feet,C4682018,No Data,2-Storey,"$11,127 /yr",Detached,82,22 Sultana Avenue,Toronto,Englemount-lawrence,"$2,295,000 ",,,,,
60,No Data,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 134 Feet,C4681993,No Data,2-Storey,No Data,Detached,38,247 Lytton Boulevard,Toronto,Lawrence Park South,"$4,995,000 ",,,,,
61,6-15 years,"1 (Feb 3, 2020)","Re/max Realtron Smart Choice Team, Brokerage",50.00 x 132 Feet,C4681988,3000-3500 sqft,2-Storey,"$8,600 /yr",Detached,24,330 Patricia Avenue,Toronto,Newtonbrook West,"$1,869,000 ",,,,,
62,No Data,"1 (Feb 3, 2020)","Mccann Realty Group Ltd., Brokerage",52.00 x 129.1 Feet,C4681970,No Data,2-Storey,"$19,437 /yr",Detached,64,17 De Vere Gardens,Toronto,Bedford Park-nortown,"$5,149,000 ",,,,,
63,51-99 years,"1 (Feb 3, 2020)","Royal Lepage Real Estate Services Heaps Estrin Team, Brokera",40.00 x 210 Feet,C4681947,3500-5000 sqft,2 1/2 Storey,"$19,854 /yr",Detached,37,167 Rosedale Heights Drive,Toronto,Rosedale-moore Park,"$6,395,000 ",,,,,
64,No Data,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",65.93 x 131.91 Feet,C4681943,3500-5000 sqft,2-Storey,"$8,524 /yr",Detached,41,18 Janus Court,Toronto,Hillcrest Village,"$2,199,000 ",,,,,
65,6-15 years,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.87 x 130 Feet,C4681941,3500-5000 sqft,2-Storey,"$13,580 /yr",Detached,73,282 Brooke Avenue,Toronto,Bedford Park-nortown,"$2,695,000 ",,,,,
66,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 122 Feet,C4681923,No Data,2-Storey,"$6,558 /yr",Detached,85,282 Manor Road,Toronto,Mount Pleasant East,"$1,488,000 ",,,,,
67,16-30 years,"1 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",70.00 x 165 Feet,W4681817,3000-3500 sqft,2-Storey,"$8,611 /yr",Detached,33,112 Rathburn Road,Toronto,Princess-rosethorn,"$2,199,000 ",,,,,
68,No Data,"1 (Feb 3, 2020)","Re/max Royal Properties Realty, Brokerage",55.00 x 120 Feet,E4681886,No Data,Bungalow-Raised,"$3,372 /yr",Detached,34,83 Purpledusk Trail,Toronto,Morningside,"$849,900 ",,,,,
69,No Data,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",45.00 x 134 Feet,C4681906,3500-5000 sqft,2-Storey,"$15,627 /yr",Detached,53,416 Glengrove Avenue,Toronto,Bedford Park-nortown,"$3,295,000 ",,,,,
70,6-15 years,"1 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",92.20 x 164.17 Feet,C4681881,5000 sqft,2-Storey,"$29,630 /yr",Detached,15,71 Plymbridge Road,Toronto,Bridle Path-sunnybrook-york Mills,"$6,490,000 ",,,,,
71,No Data,"1 (Feb 3, 2020)","Royal Lepage Signature Realty Erica Reddy, Brokerage",45.01 x 135.7 Feet,C4681836,2000-2500 sqft,Bungalow,"$7,265 /yr",Detached,18,274 Dunview Avenue,Toronto,Willowdale East,"$1,175,000 ",,,,,
72,No Data,"1 (Feb 3, 2020)","Royal Lepage Real Estate Services Heaps Estrin Team, Brokera",25.00 x 136 Feet,C4681823,No Data,2-Storey,"$9,040 /yr",Detached,32,62 Standish Avenue,Toronto,Rosedale-moore Park,"$1,899,000 ",,,,,
73,No Data,"1 (Feb 3, 2020)","Re/max Premier Inc., Brokerage",57.92 x 89.95 Feet,C4681811,No Data,2-Storey,"$10,268 /yr",Detached,81,31 Glen Echo Road,Toronto,Lawrence Park North,"$2,500,000 ",,,,,
74,51-99 years,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",61.00 x 120 Feet,E4681786,No Data,Bungalow,"$3,473 /yr",Detached,73,19 Brian Avenue,Toronto,Wexford-maryvale,"$799,000 ",,,,,
75,No Data,"1 (Feb 3, 2020)","Royal Lepage Exceptional Real Estate Services, Brokerage",52.00 x 104.6 Feet,C4681775,No Data,2-Storey,"$4,738 /yr",Detached,24,18 Skelmore Crescent,Toronto,Parkwoods-donalda,"$948,800 ",,,,,
76,No Data,"1 (Feb 3, 2020)","Ecko Jay Realty Ltd., Brokerage",58.00 x 105 Feet,C4681765,No Data,2-Storey,"$5,100 /yr",Detached,51,25 Avonwick Gate,Toronto,Parkwoods-donalda,"$1,368,800 ",,,,,
77,6-15 years,"1 (Feb 3, 2020)","Rifo Realty Inc., Brokerage",50.00 x 130 Feet,C4681741,3500-5000 sqft,2-Storey,"$13,212 /yr",Detached,18,259 Dunview Avenue,Toronto,Willowdale East,"$3,180,000 ",,,,,
78,No Data,"1 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",45.00 x 112 Feet,E4681721,No Data,Bungalow,"$3,699 /yr",Detached,39,70 Holford Crescent,Toronto,Tam O'shanter-sullivan,"$899,000 ",,,,,
79,No Data,"1 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",40.00 x 125 Feet,E4681706,No Data,Bungalow,"$3,412 /yr",Detached,63,56 Delwood Drive,Toronto,Clairlea-birchmount,"$958,000 ",,,,,
80,No Data,"1 (Feb 2, 2020)","International Realty Firm, Inc., Brokerage",63.00 x 115 Feet,C4681676,No Data,Bungalow-Raised,"$5,200 /yr",Detached,39,247 Brighton Avenue,Toronto,Bathurst Manor,$1 ,,,,,
81,51-99 years,"1 (Feb 2, 2020)","Properties Unlimited Realty Ltd., Brokerage",47.00 x 120.68 Feet,E4681657,No Data,Bungalow,"$2,850 /yr",Detached,73,954 Midland Avenue,Toronto,Eglinton East,"$915,000 ",,,,,
82,No Data,"1 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",50.00 x 144.79 Feet,E4681590,No Data,Bungalow,"$3,209 /yr",Detached,36,17 Jeanette Street,Toronto,Cliffcrest,"$869,000 ",,,,,
83,51-99 years,"1 (Feb 2, 2020)","Royal Lepage Flower City Realty, Brokerage",33.00 x 110 Feet,E4681322,2000-2500 sqft,2-Storey,"$3,879 /yr",Detached,73,23 Roblin Avenue,Toronto,East York,"$1,795,000 ",,,,,
84,No Data,"1 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",40.00 x 119.33 Feet,E4681459,No Data,Backsplit 4,"$3,900 /yr",Detached,15,40 Cavehill Crescent,Toronto,Wexford-maryvale,"$849,900 ",,,,,
85,No Data,"1 (Feb 1, 2020)","Re/max Realtron Realty Inc., Brokerage",53.71 x 112.5 Feet,C4681441,1500-2000 sqft,Sidesplit 4,"$5,793 /yr",Detached,30,9 Stafford Road,Toronto,Willowdale West,"$1,998,000 ",,,,,
86,No Data,"2 (Feb 1, 2020)",Right At Home Realty Inc.,No Data,W4681357,No Data,No Data,No Data,House/Single Family,43,27 Kidron Valley Drive,Toronto,Mount Olive-silverstone-jamestown,"$769,000 ",,,,,
87,No Data,"2 (Feb 1, 2020)",Public Choice Realty Inc.,No Data,E4681370,No Data,Bungalow,No Data,House/Single Family,63,292 Pharmacy Avenue West,Toronto,Clairlea-birchmount,"$699,000 ",,,,,
88,No Data,"2 (Feb 1, 2020)","Snobar Realty Group Inc., Brokerage",50.00 x 153.5 Feet,W4681407,No Data,Bungalow,"$3,965 /yr",Detached,31,626 Scarlett Road,Toronto,Humber Heights,"$999,888 ",,,,,
89,No Data,"2 (Feb 1, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",34.00 x 78.83 Feet,C4681377,No Data,3-Storey,"$7,299 /yr",Detached,97,27 Dalton Road,Toronto,Annex,"$2,499,900 ",,,,,
90,No Data,"2 (Feb 1, 2020)","Royal Lepage Connect Realty, Brokerage",50.00 x 120 Feet,E4681289,No Data,Backsplit 4,"$3,959 /yr",Detached,58,80 Keyworth Trail,Toronto,Agincourt South-malvern West,"$999,999 ",,,,,
91,No Data,"2 (Feb 1, 2020)","Homelife Superstars Real Estate Limited, Brokerage",25.00 x 105 Feet,W4681216,No Data,2-Storey,"$3,495 /yr",Detached,73,5 Aldgate Avenue,Toronto,Stonegate-queensway,"$1,149,000 ",,,,,
92,0-5 years,"2 (Feb 1, 2020)","Right At Home Realty Inc., Brokerage",50.00 x 146 Feet,C4681214,3500-5000 sqft,2-Storey,No Data,Detached,39,352 Byng Avenue,Toronto,Willowdale East,"$3,688,000 ",,,,,
93,No Data,"2 (Feb 1, 2020)","Homelife Landmark Realty Inc., Brokerage",60.00 x 110 Feet,E4681170,2000-2500 sqft,2-Storey,"$4,336 /yr",Detached,54,91 Bushmills Square,Toronto,Agincourt North,"$899,000 ",,,,,
94,New,"2 (Feb 1, 2020)","Ecko Jay Realty Ltd., Brokerage",72.42 x 125.8 Feet,C4681160,3000-3500 sqft,2-Storey,"$12,569 /yr",Detached,73,7 Cassidy Place,Toronto,Banbury-don Mills,"$2,799,900 ",,,,,
95,0-5 years,"2 (Feb 1, 2020)","Royal Lepage Flower City Realty, Brokerage",37.50 x 122 Feet,W4681119,No Data,2-Storey,"$5,187 /yr",Detached,52,34 Government Road,Toronto,Kingsway South,"$2,790,000 ",,,,,
96,No Data,"2 (Feb 1, 2020)","Royal Lepage Connect Realty, Brokerage",45.01 x 116 Feet,E4681097,No Data,Bungalow,"$3,012 /yr",Detached,36,10 Alanbury Crescent,Toronto,Woburn,"$734,900 ",,,,,
97,No Data,"2 (Feb 1, 2020)","Homelife Today Realty Ltd., Brokerage",41.00 x 130 Feet,E4681082,No Data,Bungalow,"$2,949 /yr",Detached,23,16 Montavista Street,Toronto,Morningside,"$879,000 ",,,,,
98,No Data,"2 (Feb 1, 2020)","Royal Lepage Your Community Realty, Brokerage",55.61 x 146.91 Feet,C4681077,No Data,Bungalow,"$5,249 /yr",Detached,22,19 Caines Avenue,Toronto,Newtonbrook West,"$1,398,000 ",,,,,
99,No Data,"2 (Feb 1, 2020)","Re/max Rouge River Realty Ltd., Brokerage",48.00 x 151.25 Feet,C4681028,No Data,2-Storey,"$5,292 /yr",Detached,53,59 Kingslake Road,Toronto,Don Valley Village,"$1,088,888 ",,,,,
100,No Data,"2 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",30.00 x 105.5 Feet,E4680977,1100-1500 sqft,Bungalow,"$2,920 /yr",Detached,59,110 Robinson Avenue,Toronto,Oakridge,"$599,000 ",,,,,
101,0-5 years,"3 (Jan 31, 2020)","Royal Lepage/j & D Division, Brokerage",50.00 x 150 Feet,C4680889,5000 sqft,2-Storey,"$26,995 /yr",Detached,27,206 St Leonard's Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$5,599,000 ",,,,,
102,No Data,"3 (Jan 31, 2020)","Superstars Realty Ltd., Brokerage",29.52 x 100.06 Feet,E4680886,No Data,2-Storey,"$4,297 /yr",Detached,41,4 Danilack Court,Toronto,Milliken,"$938,000 ",,,,,
103,No Data,"3 (Jan 31, 2020)","Re/max Realtron Eli Bakhtiari Team Realty, Brokerage",55.00 x 115.17 Feet,C4680790,No Data,2-Storey,"$4,934 /yr",Detached,51,10 Rochelle Crescent,Toronto,Don Valley Village,"$1,588,000 ",,,,,
104,No Data,"3 (Jan 31, 2020)","Fine Homes Realestate Inc., Brokerage",20.37 x 124.25 Feet,E4680671,No Data,2-Storey,"$5,011 /yr",Detached,69,290 Waverley Road,Toronto,The Beaches,"$999,000 ",,,,,
105,51-99 years,"3 (Jan 31, 2020)","Royal Lepage Signature Realty, Brokerage",40.86 x 140.04 Feet,C4680685,700-1100 sqft,Bungalow,"$7,264 /yr",Detached,65,254 Willowdale Avenue,Toronto,Willowdale East,"$1,620,000 ",,,,,
106,New,"3 (Jan 31, 2020)","Home Land Plus Realty Ltd., Brokerage",20.00 x 120 Feet,C4680670,2000-2500 sqft,3-Storey,No Data,Detached,73,388 Woburn Avenue,Toronto,Lawrence Park North,"$2,499,000 ",,,,,
107,51-99 years,"3 (Jan 31, 2020)","Re/max Crossroads Realty Inc., Brokerage",42.42 x 119.14 Feet,E4680630,1100-1500 sqft,Bungalow,"$3,272 /yr",Detached,60,9 Leahann Drive,Toronto,Dorset Park,"$850,000 ",,,,,
108,No Data,"3 (Jan 31, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",60.00 x 100 Feet,C4680665,No Data,2-Storey,"$8,691 /yr",Detached,74,41 Tremont Crescent,Toronto,Banbury-don Mills,"$2,580,000 ",,,,,
